	a	brief
legalizing	gambling	in
gambling	in	1931
in	1931	and
1931	and	thus
and	thus	solidifying
thus	solidifying	the
solidifying	the	future
the	future	of
future	of	the
of	the	town
the	town	though
town	though	legislators
though	legislators	and
legislators	and	residents
and	residents	could
residents	could	never
could	never	have
never	have	known
have	known	this
known	this	at
this	at	the
at	the	time
the	time	the
time	the	hordes
the	hordes	of
hordes	of	people
of	people	who
people	who	attended
who	attended	hoover
attended	hoover	dam
hoover	dam	s
dam	s	1935
s	1935	dedication
1935	dedication	set
dedication	set	the
set	the	city
the	city	s
city	s	now
s	now	formidable
now	formidable	public
formidable	public	relations
public	relations	machine
relations	machine	into
machine	into	action
into	action	they
action	they	went
they	went	to
went	to	work
to	work	on
work	on	what
on	what	has
what	has	become
has	become	one
become	one	of
one	of	the
of	the	lengthiest
the	lengthiest	citywide
lengthiest	citywide	tourism
citywide	tourism	campaigns
tourism	campaigns	ever
campaigns	ever	attempted
ever	attempted	it
attempted	it	didn
it	didn	t
didn	t	take
t	take	long
take	long	for
long	for	the
for	the	city
the	city	to
city	to	establish
to	establish	itself
establish	itself	as
itself	as	a
as	a	wild
a	wild	west
wild	west	town
west	town	with
town	with	an
with	an	anything
an	anything	goes
anything	goes	attitude
goes	attitude	vices
attitude	vices	outlawed
vices	outlawed	or
outlawed	or	heavily
or	heavily	controlled
heavily	controlled	elsewhere
controlled	elsewhere	were
elsewhere	were	legal
were	legal	here
legal	here	available
here	available	any
available	any	hour
any	hour	of
hour	of	any
of	any	day
any	day	or
day	or	night
or	night	thus
night	thus	originated
thus	originated	las
originated	las	vegas
las	vegas	s
vegas	s	reputation
s	reputation	as
reputation	as	an
as	an	adult
an	adult	theme
adult	theme	park
theme	park	additional
park	additional	catalysts
additional	catalysts	for
catalysts	for	the
for	the	valley
the	valley	s
valley	s	growth
s	growth	came
growth	came	from
came	from	world
from	world	war
world	war	ii
war	ii	both
ii	both	the
both	the	las
the	las	vegas
las	vegas	aerial
vegas	aerial	gunnery
aerial	gunnery	school
gunnery	school	which
school	which	became
which	became	nellis
became	nellis	air
nellis	air	force
air	force	base
force	base	and
base	and	the
and	the	nevada
the	nevada	test
nevada	test	site
test	site	in
site	in	the
in	the	north
the	north	and
north	and	basic
and	basic	magnesium
basic	magnesium	in
magnesium	in	the
in	the	nearby
the	nearby	town
nearby	town	of
town	of	henderson
of	henderson	arrived
henderson	arrived	in
arrived	in	the
in	the	early
the	early	1940s
early	1940s	as
1940s	as	a
as	a	result
a	result	of
result	of	america
of	america	s
america	s	war
s	war	effort
war	effort	by
effort	by	1945
by	1945	the
1945	the	population
the	population	had
population	had	grown
had	grown	to
grown	to	almost
to	almost	20
almost	20	000
20	000	with
000	with	workers
with	workers	and
workers	and	airmen
and	airmen	moving
airmen	moving	in
moving	in	at
in	at	a
at	a	rapid
a	rapid	pace
rapid	pace	but
pace	but	this
but	this	was
this	was	not
was	not	yet
not	yet	the
yet	the	las
the	las	vegas
las	vegas	of
vegas	of	folklore
of	folklore	mobsters
folklore	mobsters	and
mobsters	and	rat
and	rat	packers
rat	packers	while
packers	while	many
while	many	gambling
many	gambling	halls
gambling	halls	opened
halls	opened	downtown
opened	downtown	in
downtown	in	the
in	the	1930s
the	1930s	and
1930s	and	early
and	early	1940s
early	1940s	only
1940s	only	two
only	two	were
two	were	built
were	built	on
built	on	the
on	the	stretch
the	stretch	of
stretch	of	old
of	old	los
old	los	angeles
los	angeles	highway
angeles	highway	that
highway	that	ultimately
that	ultimately	became
ultimately	became	the
became	the	strip
the	strip	the
strip	the	el
the	el	rancho
el	rancho	vegas
rancho	vegas	1941
vegas	1941	was
1941	was	the
was	the	first
the	first	followed
first	followed	by
followed	by	the
by	the	last
the	last	frontier
last	frontier	1943
frontier	1943	during
1943	during	this
during	this	period
this	period	east
period	east	coast
east	coast	syndicate
coast	syndicate	member
syndicate	member	benjamin
member	benjamin	bugsy
benjamin	bugsy	siegel
bugsy	siegel	earned
siegel	earned	a
earned	a	foothold
a	foothold	as
foothold	as	a
as	a	local
a	local	casino
local	casino	operator
casino	operator	by
operator	by	1945
by	1945	siegel
1945	siegel	had
siegel	had	become
had	become	one
become	one	of
one	of	las
of	las	vegas
las	vegas	s
vegas	s	original
s	original	visionaries
original	visionaries	planning
visionaries	planning	an
planning	an	opulent
an	opulent	resort
opulent	resort	on
resort	on	the
on	the	southern
the	southern	end
southern	end	of
end	of	the
of	the	la
the	la	highway
la	highway	when
highway	when	the
when	the	flamingo
the	flamingo	opened
flamingo	opened	in
opened	in	december
in	december	1946
december	1946	it
1946	it	did
it	did	so
did	so	with
so	with	hollywood
with	hollywood	flair
hollywood	flair	and
flair	and	the
and	the	new
the	new	vegas
new	vegas	flash
vegas	flash	but
flash	but	the
but	the	mafia
the	mafia	bosses
mafia	bosses	who
bosses	who	financed
who	financed	the
financed	the	operation
the	operation	were
operation	were	displeased
were	displeased	with
displeased	with	its
with	its	performance
its	performance	siegel
performance	siegel	was
siegel	was	murdered
was	murdered	in
murdered	in	the
in	the	summer
the	summer	of
summer	of	1947
of	1947	despite
1947	despite	its
despite	its	initial
its	initial	failings
initial	failings	siegel
failings	siegel	s
siegel	s	flamingo
s	flamingo	survived
flamingo	survived	him
survived	him	as
him	as	did
as	did	mob
did	mob	infiltration
mob	infiltration	of
infiltration	of	casinos
of	casinos	in
casinos	in	fact
in	fact	the
fact	the	flamingo
the	flamingo	would
flamingo	would	launch
would	launch	over
launch	over	two
over	two	decades
two	decades	of
decades	of	strong
of	strong	mob
strong	mob	presence
mob	presence	in
presence	in	las
in	las	vegas
las	vegas	freely
vegas	freely	flowing
freely	flowing	comps
flowing	comps	complimentary
comps	complimentary	food
complimentary	food	drink
food	drink	and
drink	and	entertainment
and	entertainment	were
entertainment	were	the
were	the	order
the	order	of
order	of	the
of	the	day
the	day	with
day	with	mob
with	mob	bosses
mob	bosses	content
bosses	content	to
content	to	provide
to	provide	an
provide	an	environment
an	environment	of
environment	of	pleasurable
of	pleasurable	excess
pleasurable	excess	as
excess	as	long
as	long	as
long	as	the
as	the	cash
the	cash	kept
cash	kept	rolling
kept	rolling	in
rolling	in	while
in	while	the
while	the	mob
the	mob	was
mob	was	running
was	running	the
running	the	casinos
the	casinos	promoters
casinos	promoters	were
promoters	were	busily
were	busily	selling
busily	selling	las
selling	las	vegas
las	vegas	as
vegas	as	a
as	a	glamorous
a	glamorous	hollywood
glamorous	hollywood	in
hollywood	in	the
in	the	desert
the	desert	from
desert	from	the
from	the	mid
the	mid	1940s
mid	1940s	to
1940s	to	the
to	the	mid
the	mid	1960s
mid	1960s	las
1960s	las	vegas
las	vegas	nurtured
vegas	nurtured	a
nurtured	a	growing
a	growing	sense
growing	sense	that
sense	that	it
that	it	was
it	was	the
was	the	entertainment
the	entertainment	capital
entertainment	capital	of
capital	of	the
of	the	world
the	world	emerging
world	emerging	stars
emerging	stars	no
stars	no	longer
no	longer	content
longer	content	with
content	with	playing
with	playing	small
playing	small	nightclubs
small	nightclubs	came
nightclubs	came	to
came	to	las
to	las	vegas
las	vegas	with
vegas	with	dreams
with	dreams	of
dreams	of	making
of	making	it
making	it	big
it	big	many
big	many	of
many	of	them
of	them	did
them	did	frank
did	frank	sinatra
frank	sinatra	wayne
sinatra	wayne	newton
wayne	newton	and
newton	and	louis
and	louis	prima
louis	prima	each
prima	each	arrived
each	arrived	with
arrived	with	mediocre
with	mediocre	status
mediocre	status	and
status	and	suddenly
and	suddenly	found
suddenly	found	themselves
found	themselves	with
themselves	with	names
with	names	as
names	as	big
as	big	as
big	as	the
as	the	marquees
the	marquees	on
marquees	on	which
on	which	they
which	they	were
they	were	written
were	written	the
written	the	rat
the	rat	pack
rat	pack	originally
pack	originally	frank
originally	frank	sinatra
frank	sinatra	dean
sinatra	dean	martin
dean	martin	sammy
martin	sammy	davis
sammy	davis	jr
davis	jr	peter
jr	peter	lawford
peter	lawford	and
lawford	and	joey
and	joey	bishop
joey	bishop	all
bishop	all	in
all	in	town
in	town	to
town	to	film
to	film	ocean
film	ocean	s
ocean	s	11
s	11	landed
11	landed	at
landed	at	the
at	the	sands
the	sands	in
sands	in	january
in	january	1960
january	1960	for
1960	for	a
for	a	legendary
a	legendary	stay
legendary	stay	other
stay	other	hollywood
other	hollywood	stars
hollywood	stars	came
stars	came	as
came	as	well
as	well	simply
well	simply	because
simply	because	las
because	las	vegas
las	vegas	was
vegas	was	the
was	the	place
the	place	to
place	to	be
to	be	as
be	as	a
as	a	result
a	result	more
result	more	casinos
more	casinos	emerged
casinos	emerged	along
emerged	along	the
along	the	strip
the	strip	the
strip	the	thunderbird
the	thunderbird	desert
thunderbird	desert	inn
desert	inn	sahara
inn	sahara	sands
sahara	sands	and
sands	and	riviera
and	riviera	hotels
riviera	hotels	were
hotels	were	erected
were	erected	during
erected	during	this
during	this	period
this	period	luring
period	luring	a
luring	a	curious
a	curious	clientele
curious	clientele	drawn
clientele	drawn	by
drawn	by	tales
by	tales	of
tales	of	all
of	all	night
all	night	partying
night	partying	exclusive
partying	exclusive	entertainment
exclusive	entertainment	and
entertainment	and	cheap
and	cheap	accommodations
cheap	accommodations	there
accommodations	there	was
there	was	no
was	no	longer
no	longer	any
longer	any	question
any	question	when
question	when	you
when	you	wanted
you	wanted	some
wanted	some	unbridled
some	unbridled	adult
unbridled	adult	fun
adult	fun	las
fun	las	vegas
las	vegas	was
vegas	was	the
was	the	place
the	place	to
place	to	be
to	be	new
be	new	legitimacy
new	legitimacy	organized
legitimacy	organized	crime
organized	crime	was
crime	was	soon
was	soon	to
soon	to	have
to	have	a
have	a	formidable
a	formidable	adversary
formidable	adversary	in
adversary	in	its
in	its	bid
its	bid	to
bid	to	control
to	control	las
control	las	vegas
las	vegas	corporate
vegas	corporate	cash
corporate	cash	though
cash	though	las
though	las	vegas
las	vegas	had
vegas	had	developed
had	developed	a
developed	a	powerful
a	powerful	local
powerful	local	economy
local	economy	few
economy	few	major
few	major	outside
major	outside	investments
outside	investments	were
investments	were	made
were	made	in
made	in	the
in	the	city
the	city	due
city	due	primarily
due	primarily	to
primarily	to	mob
to	mob	infiltration
mob	infiltration	and
infiltration	and	its
and	its	inherent
its	inherent	ties
inherent	ties	to
ties	to	illegal
to	illegal	activities
illegal	activities	that
activities	that	would
that	would	change
would	change	dramatically
change	dramatically	with
dramatically	with	the
with	the	1966
the	1966	arrival
1966	arrival	of
arrival	of	billionaire
of	billionaire	howard
billionaire	howard	hughes
howard	hughes	a
hughes	a	legitimate
a	legitimate	businessman
legitimate	businessman	hughes
businessman	hughes	was
hughes	was	nonetheless
was	nonetheless	eccentric
nonetheless	eccentric	and
eccentric	and	dramatic
and	dramatic	a
dramatic	a	style
a	style	suited
style	suited	to
suited	to	the
to	the	las
the	las	vegas
las	vegas	ethos
vegas	ethos	true
ethos	true	to
true	to	the
to	the	myth
the	myth	the
myth	the	reclusive
the	reclusive	hughes
reclusive	hughes	immediately
hughes	immediately	cloistered
immediately	cloistered	himself
cloistered	himself	in
himself	in	the
in	the	desert
the	desert	inn
desert	inn	s
inn	s	penthouse
s	penthouse	several
penthouse	several	weeks
several	weeks	later
weeks	later	he
later	he	was
he	was	asked
was	asked	then
asked	then	ordered
then	ordered	to
ordered	to	vacate
to	vacate	the
vacate	the	room
the	room	to
room	to	make
to	make	room
make	room	for
room	for	high
for	high	rollers
high	rollers	whereupon
rollers	whereupon	he
whereupon	he	promptly
he	promptly	bought
promptly	bought	the
bought	the	property
the	property	and
property	and	fired
and	fired	the
fired	the	management
the	management	thus
management	thus	began
thus	began	hughes
began	hughes	legendary
hughes	legendary	three
legendary	three	year
three	year	300
year	300	million
300	million	las
million	las	vegas
las	vegas	buying
vegas	buying	spree
buying	spree	when
spree	when	it
when	it	was
it	was	over
was	over	hughes
over	hughes	owned
hughes	owned	six
owned	six	casinos
six	casinos	an
casinos	an	airport
an	airport	and
airport	and	an
and	an	airline
an	airline	along
airline	along	with
along	with	numerous
with	numerous	plots
numerous	plots	of
plots	of	land
of	land	stretching
land	stretching	from
stretching	from	the
from	the	strip
the	strip	to
strip	to	the
to	the	mountains
the	mountains	hughes
mountains	hughes	actions
hughes	actions	would
actions	would	have
would	have	beneficial
have	beneficial	repercussions
beneficial	repercussions	both
repercussions	both	immediate
both	immediate	and
immediate	and	lasting
and	lasting	because
lasting	because	of
because	of	the
of	the	new
the	new	legitimacy
new	legitimacy	las
legitimacy	las	vegas
las	vegas	acquired
vegas	acquired	from
acquired	from	hughes
from	hughes	investments
hughes	investments	established
investments	established	companies
established	companies	such
companies	such	as
such	as	hilton
as	hilton	hotels
hilton	hotels	bought
hotels	bought	into
bought	into	the
into	the	gaming
the	gaming	business
gaming	business	and
business	and	their
and	their	influence
their	influence	helped
influence	helped	draw
helped	draw	a
draw	a	line
a	line	in
line	in	the
in	the	desert
the	desert	sand
desert	sand	between
sand	between	legitimate
between	legitimate	operations
legitimate	operations	and
operations	and	mob
and	mob	casinos
mob	casinos	where
casinos	where	illegal
where	illegal	skimming
illegal	skimming	of
skimming	of	profits
of	profits	was
profits	was	rampant
was	rampant	that
rampant	that	combined
that	combined	with
combined	with	the
with	the	formation
the	formation	of
formation	of	the
of	the	nevada
the	nevada	gaming
nevada	gaming	control
gaming	control	board
control	board	would
board	would	signal
would	signal	the
signal	the	beginning
the	beginning	of
beginning	of	the
of	the	end
the	end	for
end	for	heavy
for	heavy	mob
heavy	mob	influence
mob	influence	in
influence	in	the
in	the	city
the	city	las
city	las	vegas
las	vegas	with
vegas	with	a
with	a	vision
